time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
367.7225,0.0003,1.2115,0.3287,18.1086,125.9429,345.0548
367.7336,0.0004,1.2116,0.3287,18.1297,125.9195,345.0876
367.7447,0.0005,1.2116,0.3288,18.151,125.9312,345.1102
367.7557,0.0006,1.2116,0.3289,18.1582,125.9675,345.1169
367.767,0.0007,1.2116,0.3291,18.1513,126.0214,345.1152
367.7778,0.0008,1.2115,0.3292,18.136,126.0577,345.0929
367.7891,0.0008,1.2115,0.3292,18.11,126.0655,345.0531
367.8,0.0008,1.2114,0.3292,18.0863,126.0597,345.0262
367.8114,0.0009,1.2114,0.3293,18.071,126.0464,345.0407
367.8223,0.0009,1.2115,0.3293,18.0684,126.0382,345.0797
367.8335,0.001,1.2115,0.3294,18.0835,126.0405,345.1145
367.8445,0.0011,1.2115,0.3295,18.098,126.0551,345.1412
367.856,0.0011,1.2116,0.3296,18.1128,126.0753,345.1529
367.8669,0.0012,1.2116,0.3297,18.1307,126.0898,345.1376
367.8781,0.0012,1.2116,0.3298,18.1647,126.11,345.0925
367.8891,0.0013,1.2116,0.3299,18.1693,126.1389,345.0617
367.9003,0.0013,1.2116,0.3299,18.1681,126.1512,345.0554
367.9115,0.0013,1.2116,0.3299,18.1691,126.1592,345.0746
367.9224,0.0013,1.2115,0.33,18.1469,126.1545,345.1056
367.9336,0.0013,1.2115,0.33,18.1185,126.1448,345.124
367.9449,0.0014,1.2115,0.3301,18.1048,126.1375,345.1326
367.956,0.0014,1.2115,0.3301,18.1165,126.1364,345.1304
367.9672,0.0014,1.2115,0.3301,18.1247,126.1413,345.1339
367.9778,0.0015,1.2114,0.3301,18.1273,126.1519,345.1506
367.9891,0.0015,1.2114,0.3301,18.1181,126.1419,345.1653
368.0002,0.0015,1.2113,0.3301,18.0973,126.1239,345.1799
368.012,0.0015,1.2113,0.3301,18.0784,126.1184,345.1946
368.0224,0.0016,1.2112,0.3301,18.051,126.1187,345.212
368.0335,0.0016,1.2111,0.3302,18.0054,126.1561,345.2205
368.0446,0.0017,1.2111,0.3303,17.975,126.177,345.2127
368.0557,0.0017,1.2111,0.3303,17.9685,126.1828,345.1993
368.0667,0.0017,1.2112,0.3303,17.9772,126.1707,345.1818
368.0776,0.0017,1.2112,0.3303,18.0049,126.1334,345.1368
368.0891,0.0018,1.2114,0.3302,18.0484,126.1119,345.1336
368.1002,0.0019,1.2114,0.3302,18.0732,126.1159,345.1626
368.1121,0.002,1.2114,0.3303,18.0683,126.1392,345.2253
368.1223,0.002,1.2114,0.3303,18.0457,126.1497,345.2732
368.1334,0.0021,1.2114,0.3303,18.0023,126.1361,345.2959
368.1443,0.0021,1.2113,0.3303,17.9629,126.1053,345.2646
368.1555,0.0021,1.2113,0.3303,17.9293,126.064,345.158
368.1666,0.0022,1.2113,0.3303,17.9207,126.0472,345.1006
368.1777,0.0023,1.2114,0.3304,17.9318,126.0529,345.0843
368.1889,0.0025,1.2114,0.3304,17.9482,126.0751,345.1155
368.1999,0.0026,1.2114,0.3305,17.9502,126.1091,345.1575
368.2121,0.0027,1.2115,0.3305,17.9438,126.1165,345.1696
368.2226,0.0029,1.2115,0.3305,17.9584,126.1048,345.1626
368.2336,0.003,1.2116,0.3305,17.9871,126.0986,345.1232
368.2443,0.0031,1.2115,0.3304,17.9808,126.0875,345.1177
368.2556,0.0031,1.2114,0.3304,17.9391,126.1118,345.0974
368.2668,0.0034,1.2115,0.3305,17.9172,126.1361,345.1002
368.2778,0.0036,1.2117,0.3305,17.924,126.1624,345.067
368.289,0.0037,1.2117,0.3305,17.9217,126.1635,345.0968
368.3,0.004,1.2119,0.3305,17.9093,126.1923,345.0945
368.3115,0.0042,1.2119,0.3306,17.8966,126.2202,345.1037
368.3224,0.0045,1.2121,0.3306,17.9189,126.2374,345.0956
368.3335,0.0047,1.2123,0.3306,17.9503,126.2459,345.0531
368.3444,0.005,1.2125,0.3306,17.9879,126.2422,344.9947
368.3557,0.0053,1.2127,0.3306,18.0401,126.2598,344.9456
368.3667,0.0056,1.2129,0.3307,18.0596,126.3137,344.9436
368.3778,0.0059,1.213,0.3308,18.0529,126.3868,344.9527
368.389,0.0062,1.213,0.3309,18.03,126.4308,344.9466
368.4003,0.0065,1.2131,0.3309,18.0033,126.456,344.8945
368.4113,0.0067,1.2133,0.3309,17.9873,126.4517,344.8014
368.4221,0.0069,1.2134,0.3309,17.9865,126.4368,344.7275
368.4336,0.0072,1.2137,0.3308,18.0034,126.415,344.6601
368.4447,0.0075,1.2139,0.3308,18.0357,126.4116,344.6359
368.4558,0.0078,1.2142,0.3309,18.0979,126.4566,344.6416
368.4669,0.0081,1.2144,0.331,18.1333,126.5291,344.6533
368.4778,0.0085,1.2146,0.3311,18.1604,126.6314,344.6766
368.4889,0.0088,1.2147,0.3312,18.1584,126.6993,344.6602
368.5001,0.009,1.2148,0.3313,18.1451,126.7273,344.5851
368.5111,0.0092,1.2149,0.3313,18.1411,126.7085,344.4785
368.5222,0.0094,1.2151,0.3312,18.1479,126.6804,344.4006
368.5336,0.0096,1.2153,0.3313,18.1699,126.6716,344.3646
368.5446,0.0098,1.2154,0.3313,18.1942,126.6883,344.3518
368.5554,0.0102,1.2156,0.3314,18.2115,126.7551,344.3573
368.5665,0.0104,1.2159,0.3315,18.2168,126.795,344.3481
368.5777,0.0107,1.2166,0.3314,18.2847,126.7681,344.2668
368.589,0.0109,1.2175,0.3313,18.4517,126.6973,344.169
368.6002,0.0113,1.2193,0.3313,18.8149,126.5952,344.039
368.6113,0.012,1.2222,0.3312,19.4889,126.4781,343.9619
368.6219,0.0129,1.2258,0.331,20.3798,126.286,343.8647
368.6335,0.0146,1.2318,0.3311,21.9662,126.0843,343.8129
368.6447,0.0171,1.2383,0.3319,23.764,126.1297,343.9226
368.6558,0.0214,1.2476,0.3337,26.3708,126.7496,344.2907
368.6669,0.026,1.2561,0.3363,28.7449,127.8688,344.7384
368.678,0.0325,1.2674,0.3402,31.6849,129.852,345.2899
368.689,0.0396,1.2794,0.3442,34.5213,132.0564,345.564
368.7004,0.0455,1.29,0.3472,36.83,133.5378,345.3148
368.7113,0.052,1.3034,0.3503,39.4939,134.5576,344.1376
368.7224,0.0571,1.3153,0.3527,41.7156,134.8162,342.4492
368.7338,0.0627,1.33,0.3553,44.2758,134.571,339.8874
368.7445,0.0674,1.3435,0.3575,46.5827,133.9729,337.3721
368.7559,0.0735,1.3597,0.3599,49.613,133.0614,334.2181
368.7669,0.0792,1.374,0.3623,52.5679,132.3615,331.5886
368.778,0.0869,1.3907,0.3656,56.5171,131.8104,328.8594
368.7892,0.0958,1.4066,0.3694,60.8327,131.5575,326.5838
368.8002,0.1036,1.4187,0.3735,64.2964,131.7449,325.0928
368.8116,0.1123,1.4317,0.38,67.8229,132.6302,323.5439
368.8226,0.1187,1.4413,0.3864,70.1303,133.4692,321.9844
368.8342,0.1243,1.4507,0.3957,71.9555,134.5127,319.7404
