ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p11,1,1,1,1,58.66995,72.35796,Practice,Hit,59.01445,63.74657,Centre,0,0,1,Infinity,1.389,posture_decision_experiment/p11/S001/movement_head_T001.csv,posture_decision_experiment/p11/S001/movement_right_hand_T001.csv,posture_decision_experiment/p11/S001/movement_left_hand_T001.csv
p11,1,2,1,2,81.12596,82.28052,Practice,Hit,81.62557,81.73605,Centre,0,0,1.3,Infinity,1.4976,posture_decision_experiment/p11/S001/movement_head_T002.csv,posture_decision_experiment/p11/S001/movement_right_hand_T002.csv,posture_decision_experiment/p11/S001/movement_left_hand_T002.csv
p11,1,3,1,3,89.64859,91.9475,Practice,Hit,90.08182,90.21411,Centre,0,0,1.5,Infinity,0.9066,posture_decision_experiment/p11/S001/movement_head_T003.csv,posture_decision_experiment/p11/S001/movement_right_hand_T003.csv,posture_decision_experiment/p11/S001/movement_left_hand_T003.csv
p11,1,4,1,4,103.3376,104.6035,Practice,Hit,103.7375,103.8368,Centre,0,0,1.3,Infinity,1.4669,posture_decision_experiment/p11/S001/movement_head_T004.csv,posture_decision_experiment/p11/S001/movement_right_hand_T004.csv,posture_decision_experiment/p11/S001/movement_left_hand_T004.csv
p11,1,5,1,5,108.5155,110.6703,Practice,Hit,108.8265,108.9925,Centre,0,0,1.5,Infinity,1.2436,posture_decision_experiment/p11/S001/movement_head_T005.csv,posture_decision_experiment/p11/S001/movement_right_hand_T005.csv,posture_decision_experiment/p11/S001/movement_left_hand_T005.csv
p11,1,6,1,6,114.8158,115.6483,Practice,Hit,115.1604,115.2261,Centre,0,0,1,Infinity,1.4087,posture_decision_experiment/p11/S001/movement_head_T006.csv,posture_decision_experiment/p11/S001/movement_right_hand_T006.csv,posture_decision_experiment/p11/S001/movement_left_hand_T006.csv
p11,1,7,2,1,125.8826,126.2931,Baseline,FailTooEarly,,,,0,0,1.3,Infinity,1.3529,posture_decision_experiment/p11/S001/movement_head_T007.csv,posture_decision_experiment/p11/S001/movement_right_hand_T007.csv,posture_decision_experiment/p11/S001/movement_left_hand_T007.csv
p11,1,8,2,2,132.8273,134.16,Baseline,Hit,133.2833,133.76,Centre,0,0,1.3,Infinity,0.8211,posture_decision_experiment/p11/S001/movement_head_T008.csv,posture_decision_experiment/p11/S001/movement_right_hand_T008.csv,posture_decision_experiment/p11/S001/movement_left_hand_T008.csv
p11,1,9,2,3,144.9971,146.8604,Baseline,Hit,145.3532,145.4048,Centre,0,0,1.5,Infinity,0.8373,posture_decision_experiment/p11/S001/movement_head_T009.csv,posture_decision_experiment/p11/S001/movement_right_hand_T009.csv,posture_decision_experiment/p11/S001/movement_left_hand_T009.csv
p11,1,10,2,4,151.1977,151.5606,Baseline,FailTooEarly,,,,0,0,1,Infinity,0.8116,posture_decision_experiment/p11/S001/movement_head_T010.csv,posture_decision_experiment/p11/S001/movement_right_hand_T010.csv,posture_decision_experiment/p11/S001/movement_left_hand_T010.csv
p11,1,11,2,5,155.2088,156.783,Baseline,Hit,155.6751,155.783,Centre,0,0,1.5,Infinity,1.2124,posture_decision_experiment/p11/S001/movement_head_T011.csv,posture_decision_experiment/p11/S001/movement_right_hand_T011.csv,posture_decision_experiment/p11/S001/movement_left_hand_T011.csv
p11,1,12,2,6,160.8866,161.9387,Baseline,Hit,161.2864,161.7276,Centre,0,0,1,Infinity,1.4238,posture_decision_experiment/p11/S001/movement_head_T012.csv,posture_decision_experiment/p11/S001/movement_right_hand_T012.csv,posture_decision_experiment/p11/S001/movement_left_hand_T012.csv
p11,1,13,2,7,165.7648,167.4278,Baseline,Hit,166.1868,166.55,Centre,0,0,1.5,Infinity,1.0376,posture_decision_experiment/p11/S001/movement_head_T013.csv,posture_decision_experiment/p11/S001/movement_right_hand_T013.csv,posture_decision_experiment/p11/S001/movement_left_hand_T013.csv
