ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p27,1,27,2,21,228.9214,229.9854,Baseline,Hit,229.2542,229.6077,Centre,0,0,1.5,Infinity,1.0535,posture_decision_experiment/p27/S001/movement_head_T027.csv,posture_decision_experiment/p27/S001/movement_right_hand_T027.csv,posture_decision_experiment/p27/S001/movement_left_hand_T027.csv
p27,1,28,2,22,233.5649,233.8967,Baseline,FailTooEarly,,,,0,0,1.3,Infinity,1.1739,posture_decision_experiment/p27/S001/movement_head_T028.csv,posture_decision_experiment/p27/S001/movement_right_hand_T028.csv,posture_decision_experiment/p27/S001/movement_left_hand_T028.csv
p27,1,29,2,23,237.787,239.0746,Baseline,Hit,238.2879,238.6635,Centre,0,0,1.5,Infinity,1.3349,posture_decision_experiment/p27/S001/movement_head_T029.csv,posture_decision_experiment/p27/S001/movement_right_hand_T029.csv,posture_decision_experiment/p27/S001/movement_left_hand_T029.csv
p27,1,30,2,24,242.2878,243.1081,Baseline,Hit,242.6431,242.9192,Centre,0,0,1,Infinity,0.7997,posture_decision_experiment/p27/S001/movement_head_T030.csv,posture_decision_experiment/p27/S001/movement_right_hand_T030.csv,posture_decision_experiment/p27/S001/movement_left_hand_T030.csv
p27,1,31,2,25,246.4988,247.1971,Baseline,Hit,246.8873,246.9971,Centre,0,0,1,Infinity,0.8441,posture_decision_experiment/p27/S001/movement_head_T031.csv,posture_decision_experiment/p27/S001/movement_right_hand_T031.csv,posture_decision_experiment/p27/S001/movement_left_hand_T031.csv
p27,1,32,2,26,250.9319,251.8417,Baseline,Hit,251.3428,251.3973,Centre,0,0,1.5,Infinity,1.4176,posture_decision_experiment/p27/S001/movement_head_T032.csv,posture_decision_experiment/p27/S001/movement_right_hand_T032.csv,posture_decision_experiment/p27/S001/movement_left_hand_T032.csv
p27,1,33,2,27,255.6436,255.9752,Baseline,FailTooEarly,,,,0,0,1.3,Infinity,1.4265,posture_decision_experiment/p27/S001/movement_head_T033.csv,posture_decision_experiment/p27/S001/movement_right_hand_T033.csv,posture_decision_experiment/p27/S001/movement_left_hand_T033.csv
p27,1,34,3,1,293.4225,294.1987,Main,Skipped,293.8889,293.9764,Left,1,3,1.3,0.7222443,1.1663,posture_decision_experiment/p27/S001/movement_head_T034.csv,posture_decision_experiment/p27/S001/movement_right_hand_T034.csv,posture_decision_experiment/p27/S001/movement_left_hand_T034.csv
p27,1,35,3,2,297.689,298.0432,Main,FailTooEarly,,,,1,3,1.3,0.7222443,0.8904,posture_decision_experiment/p27/S001/movement_head_T035.csv,posture_decision_experiment/p27/S001/movement_right_hand_T035.csv,posture_decision_experiment/p27/S001/movement_left_hand_T035.csv
p27,1,36,3,3,302.0002,302.7879,Main,Hit,302.3557,302.4545,Left,4,3,1.3,0.7222443,0.7852,posture_decision_experiment/p27/S001/movement_head_T036.csv,posture_decision_experiment/p27/S001/movement_right_hand_T036.csv,posture_decision_experiment/p27/S001/movement_left_hand_T036.csv
p27,1,37,3,4,306.5786,306.9547,Main,FailTooEarly,,,,4,3,1,0.4000092,1.2728,posture_decision_experiment/p27/S001/movement_head_T037.csv,posture_decision_experiment/p27/S001/movement_right_hand_T037.csv,posture_decision_experiment/p27/S001/movement_left_hand_T037.csv
p27,1,38,3,5,310.7896,311.9215,Main,Miss,311.1337,311.2993,Left,4,3,1.5,0.7889252,1.4412,posture_decision_experiment/p27/S001/movement_head_T038.csv,posture_decision_experiment/p27/S001/movement_right_hand_T038.csv,posture_decision_experiment/p27/S001/movement_left_hand_T038.csv
p27,1,39,3,6,315.8452,316.2328,Main,FailTooEarly,,,,4,3,1,0.4000092,1.2989,posture_decision_experiment/p27/S001/movement_head_T039.csv,posture_decision_experiment/p27/S001/movement_right_hand_T039.csv,posture_decision_experiment/p27/S001/movement_left_hand_T039.csv
p27,1,40,3,7,319.5673,320.544,Main,Skipped,319.8787,320.444,Left,5,3,1.5,0.7889252,1.3218,posture_decision_experiment/p27/S001/movement_head_T040.csv,posture_decision_experiment/p27/S001/movement_right_hand_T040.csv,posture_decision_experiment/p27/S001/movement_left_hand_T040.csv
p27,1,41,3,8,323.8235,324.1886,Main,FailTooEarly,,,,5,3,1,0.4000092,0.8014,posture_decision_experiment/p27/S001/movement_head_T041.csv,posture_decision_experiment/p27/S001/movement_right_hand_T041.csv,posture_decision_experiment/p27/S001/movement_left_hand_T041.csv
p27,1,42,3,9,328.7013,329.7221,Main,Hit,329.1547,329.2332,Left,8,3,1.5,0.7889252,1.4025,posture_decision_experiment/p27/S001/movement_head_T042.csv,posture_decision_experiment/p27/S001/movement_right_hand_T042.csv,posture_decision_experiment/p27/S001/movement_left_hand_T042.csv
p27,1,43,3,10,333.3769,333.9111,Main,Skipped,333.7102,333.8,Left,9,3,1,0.4000092,1.1755,posture_decision_experiment/p27/S001/movement_head_T043.csv,posture_decision_experiment/p27/S001/movement_right_hand_T043.csv,posture_decision_experiment/p27/S001/movement_left_hand_T043.csv
p27,1,44,3,11,337.7554,338.5335,Main,Hit,338.0892,338.2779,Left,12,3,1.3,0.7222443,0.8183,posture_decision_experiment/p27/S001/movement_head_T044.csv,posture_decision_experiment/p27/S001/movement_right_hand_T044.csv,posture_decision_experiment/p27/S001/movement_left_hand_T044.csv
p27,1,45,3,12,342.4334,343.0559,Main,Skipped,342.9,342.9448,Left,13,3,1.5,0.7889252,1.3755,posture_decision_experiment/p27/S001/movement_head_T045.csv,posture_decision_experiment/p27/S001/movement_right_hand_T045.csv,posture_decision_experiment/p27/S001/movement_left_hand_T045.csv
p27,1,46,3,13,346.3114,346.8893,Main,Skipped,346.6775,346.7782,Left,14,3,1.5,0.7889252,0.9326,posture_decision_experiment/p27/S001/movement_head_T046.csv,posture_decision_experiment/p27/S001/movement_right_hand_T046.csv,posture_decision_experiment/p27/S001/movement_left_hand_T046.csv
p27,1,47,3,14,349.9789,350.4005,Main,FailTooEarly,,,,14,3,1,0.4000092,1.0686,posture_decision_experiment/p27/S001/movement_head_T047.csv,posture_decision_experiment/p27/S001/movement_right_hand_T047.csv,posture_decision_experiment/p27/S001/movement_left_hand_T047.csv
p27,1,48,3,15,353.7654,354.3785,Main,Hit,354.1321,354.2007,Left,17,3,1,0.4000092,0.7711,posture_decision_experiment/p27/S001/movement_head_T048.csv,posture_decision_experiment/p27/S001/movement_right_hand_T048.csv,posture_decision_experiment/p27/S001/movement_left_hand_T048.csv
p27,1,49,3,16,357.5541,358.4453,Main,Skipped,357.8764,358.3453,Right,18,3,1.5,0.7889252,0.8146,posture_decision_experiment/p27/S001/movement_head_T049.csv,posture_decision_experiment/p27/S001/movement_right_hand_T049.csv,posture_decision_experiment/p27/S001/movement_left_hand_T049.csv
p27,1,50,3,17,362.4108,363.3121,Main,Hit,362.8985,363.0565,Right,21,3,1.3,0.7222443,1.3543,posture_decision_experiment/p27/S001/movement_head_T050.csv,posture_decision_experiment/p27/S001/movement_right_hand_T050.csv,posture_decision_experiment/p27/S001/movement_left_hand_T050.csv
p27,1,51,3,18,367.4869,368.1122,Main,Skipped,367.8208,367.9789,Right,22,3,1.5,0.7889252,0.9997,posture_decision_experiment/p27/S001/movement_head_T051.csv,posture_decision_experiment/p27/S001/movement_right_hand_T051.csv,posture_decision_experiment/p27/S001/movement_left_hand_T051.csv
p27,1,52,3,19,373.11,373.5347,Main,FailTooEarly,,,,22,3,1.3,0.7222443,1.3456,posture_decision_experiment/p27/S001/movement_head_T052.csv,posture_decision_experiment/p27/S001/movement_right_hand_T052.csv,posture_decision_experiment/p27/S001/movement_left_hand_T052.csv
p27,1,53,3,20,377.7989,378.9015,Main,Hit,378.1322,378.4793,Left,25,3,1.5,0.7889252,1.2326,posture_decision_experiment/p27/S001/movement_head_T053.csv,posture_decision_experiment/p27/S001/movement_right_hand_T053.csv,posture_decision_experiment/p27/S001/movement_left_hand_T053.csv
