time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
289.2683,-0.0043,1.5991,0.1228,21.9618,359.11,1.6528
289.2795,-0.0044,1.5992,0.1226,21.8823,359.0457,1.7083
289.2904,-0.0044,1.5993,0.1223,21.8518,359.0263,1.6869
289.3018,-0.0043,1.5995,0.1221,21.862,358.9816,1.6708
289.3129,-0.0043,1.5996,0.1219,21.7991,358.9324,1.6559
289.3239,-0.0042,1.5998,0.1217,21.7037,358.9269,1.6548
289.3351,-0.0041,1.5998,0.1215,21.6377,358.8868,1.6493
289.3462,-0.0041,1.5999,0.1212,21.5706,358.901,1.622
289.3571,-0.0041,1.6,0.1211,21.5688,358.8955,1.6165
289.3684,-0.004,1.6,0.1209,21.4858,358.892,1.6468
289.3795,-0.004,1.6001,0.1206,21.4761,358.9183,1.7055
289.3908,-0.0039,1.6001,0.1204,21.4683,358.9556,1.7148
289.4018,-0.0038,1.6002,0.1202,21.4357,358.9259,1.7154
289.4132,-0.0038,1.6004,0.1201,21.4241,358.9805,1.7322
289.424,-0.0038,1.6006,0.12,21.3609,358.995,1.727
289.4351,-0.0037,1.6006,0.1198,21.2916,359.0166,1.7134
289.4463,-0.0037,1.6008,0.1198,21.2632,359.0447,1.7126
289.4577,-0.0036,1.6009,0.1197,21.1258,359.0557,1.7143
289.4686,-0.0036,1.601,0.1197,21.0948,359.011,1.6928
289.4795,-0.0035,1.601,0.1196,21.0628,359.028,1.6904
289.4905,-0.0036,1.6011,0.1194,21.0287,359.0372,1.6982
289.5016,-0.0036,1.6011,0.1194,21.0028,359.0371,1.7312
289.5131,-0.0036,1.6011,0.1194,20.9593,359.0299,1.7463
289.524,-0.0037,1.6012,0.1194,20.9652,358.9813,1.7315
289.5354,-0.0036,1.6013,0.1193,20.9531,359.0347,1.8041
289.5463,-0.0036,1.6014,0.1193,20.9513,359.0275,1.8064
289.5576,-0.0038,1.6015,0.1192,20.8361,358.9843,1.7676
289.5685,-0.004,1.6017,0.1192,20.8172,358.9503,1.792
289.5797,-0.0042,1.6019,0.1192,20.7458,358.9203,1.8333
289.5909,-0.0045,1.602,0.1193,20.7292,358.8624,1.8496
289.6021,-0.0052,1.6024,0.1194,20.623,358.7074,1.9333
289.6136,-0.0058,1.6032,0.1193,20.5171,358.5732,2.0435
289.6242,-0.0074,1.6038,0.1203,20.4088,358.205,2.2025
289.6353,-0.0082,1.6044,0.1206,20.1149,357.8042,2.2255
289.6466,-0.0095,1.605,0.1208,19.713,357.2448,2.1558
289.6576,-0.0109,1.6055,0.1211,19.3761,356.7909,2.0415
289.6686,-0.0122,1.6062,0.1213,19.1794,356.4461,1.9977
289.6796,-0.0145,1.6074,0.1216,19.0166,356.1017,2.001
289.6906,-0.0167,1.6089,0.1221,18.8907,355.7381,2.124
289.7106,-0.0193,1.6113,0.1232,18.2374,355.0478,2.3921
289.7174,-0.0253,1.6158,0.125,17.6001,354.2579,2.527
289.7253,-0.0259,1.6161,0.1259,16.9441,353.9439,2.7018
289.7364,-0.0291,1.6182,0.1279,16.0471,353.3966,2.8218
289.7473,-0.0324,1.6193,0.1298,15.1331,353.0687,2.9035
289.7581,-0.0372,1.6207,0.1325,14.1962,352.5208,2.9042
289.7688,-0.042,1.6215,0.1356,13.6724,352.2069,3.0473
289.7799,-0.0464,1.6221,0.1384,13.3658,351.8721,3.074
289.7907,-0.052,1.6229,0.1422,12.8731,351.3715,3.0639
289.8015,-0.0565,1.6232,0.1455,12.3322,350.8749,3.0337
