ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p4,1,1,1,1,39.66344,45.46818,Practice,Hit,40.05222,41.82362,Centre,0,0,1.5,Infinity,1.0955,posture_decision_experiment/p4/S001/movement_head_T001.csv,posture_decision_experiment/p4/S001/movement_right_hand_T001.csv,posture_decision_experiment/p4/S001/movement_left_hand_T001.csv
p4,1,2,1,2,55.20719,56.74633,Practice,Hit,55.68528,56.31298,Centre,0,0,1,Infinity,1.1307,posture_decision_experiment/p4/S001/movement_head_T002.csv,posture_decision_experiment/p4/S001/movement_right_hand_T002.csv,posture_decision_experiment/p4/S001/movement_left_hand_T002.csv
p4,1,3,1,3,62.46307,64.39103,Practice,Hit,62.91912,63.66879,Centre,0,0,1.3,Infinity,0.9773,posture_decision_experiment/p4/S001/movement_head_T003.csv,posture_decision_experiment/p4/S001/movement_right_hand_T003.csv,posture_decision_experiment/p4/S001/movement_left_hand_T003.csv
p4,1,4,1,4,69.20789,70.91348,Practice,Hit,69.6187,70.16901,Centre,0,0,1.3,Infinity,1.2851,posture_decision_experiment/p4/S001/movement_head_T004.csv,posture_decision_experiment/p4/S001/movement_right_hand_T004.csv,posture_decision_experiment/p4/S001/movement_left_hand_T004.csv
p4,1,5,1,5,75.5635,76.83589,Practice,Hit,75.90802,76.41366,Centre,0,0,1,Infinity,1.3671,posture_decision_experiment/p4/S001/movement_head_T005.csv,posture_decision_experiment/p4/S001/movement_right_hand_T005.csv,posture_decision_experiment/p4/S001/movement_left_hand_T005.csv
p4,1,6,1,6,80.5526,82.43608,Practice,Hit,80.95265,81.51382,Centre,0,0,1.5,Infinity,1.0284,posture_decision_experiment/p4/S001/movement_head_T006.csv,posture_decision_experiment/p4/S001/movement_right_hand_T006.csv,posture_decision_experiment/p4/S001/movement_left_hand_T006.csv
p4,1,7,2,1,92.64204,94.03646,Baseline,Hit,93.13028,93.51422,Centre,0,0,1.5,Infinity,0.9092,posture_decision_experiment/p4/S001/movement_head_T007.csv,posture_decision_experiment/p4/S001/movement_right_hand_T007.csv,posture_decision_experiment/p4/S001/movement_left_hand_T007.csv
p4,1,8,2,2,106.0316,107.9036,Baseline,Hit,106.3981,107.0258,Centre,0,0,1.5,Infinity,1.36,posture_decision_experiment/p4/S001/movement_head_T008.csv,posture_decision_experiment/p4/S001/movement_right_hand_T008.csv,posture_decision_experiment/p4/S001/movement_left_hand_T008.csv
p4,1,9,2,3,112.3757,113.5038,Baseline,Hit,112.7759,113.2149,Centre,0,0,1,Infinity,1.498,posture_decision_experiment/p4/S001/movement_head_T009.csv,posture_decision_experiment/p4/S001/movement_right_hand_T009.csv,posture_decision_experiment/p4/S001/movement_left_hand_T009.csv
p4,1,10,2,4,118.0205,119.804,Baseline,Hit,118.4099,118.8595,Centre,0,0,1.5,Infinity,0.9502,posture_decision_experiment/p4/S001/movement_head_T010.csv,posture_decision_experiment/p4/S001/movement_right_hand_T010.csv,posture_decision_experiment/p4/S001/movement_left_hand_T010.csv
