ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p2,1,1,1,1,37.98987,50.56835,Practice,Hit,38.37872,44.70149,Centre,0,0,1.3,Infinity,1.3316,posture_decision_experiment/p2/S001/movement_head_T001.csv,posture_decision_experiment/p2/S001/movement_right_hand_T001.csv,posture_decision_experiment/p2/S001/movement_left_hand_T001.csv
p2,1,2,1,2,62.90133,75.32473,Practice,Hit,63.37904,63.76879,Centre,0,0,1.5,Infinity,1.0745,posture_decision_experiment/p2/S001/movement_head_T002.csv,posture_decision_experiment/p2/S001/movement_right_hand_T002.csv,posture_decision_experiment/p2/S001/movement_left_hand_T002.csv
p2,1,3,1,3,87.76828,89.30297,Practice,Hit,88.22379,88.54739,Centre,0,0,1,Infinity,1.4993,posture_decision_experiment/p2/S001/movement_head_T003.csv,posture_decision_experiment/p2/S001/movement_right_hand_T003.csv,posture_decision_experiment/p2/S001/movement_left_hand_T003.csv
p2,1,4,1,4,98.72433,100.4256,Practice,Hit,99.05794,99.63665,Centre,0,0,1,Infinity,1.0078,posture_decision_experiment/p2/S001/movement_head_T004.csv,posture_decision_experiment/p2/S001/movement_right_hand_T004.csv,posture_decision_experiment/p2/S001/movement_left_hand_T004.csv
p2,1,5,1,5,105.8244,108.148,Practice,Hit,106.18,106.5924,Centre,0,0,1.3,Infinity,1.4965,posture_decision_experiment/p2/S001/movement_head_T005.csv,posture_decision_experiment/p2/S001/movement_right_hand_T005.csv,posture_decision_experiment/p2/S001/movement_left_hand_T005.csv
p2,1,6,1,6,111.8029,115.2483,Practice,Hit,112.2483,112.5704,Centre,0,0,1.5,Infinity,0.7891,posture_decision_experiment/p2/S001/movement_head_T006.csv,posture_decision_experiment/p2/S001/movement_right_hand_T006.csv,posture_decision_experiment/p2/S001/movement_left_hand_T006.csv
p2,1,7,2,1,125.97,126.8264,Baseline,Hit,126.459,126.4709,Centre,0,0,1,Infinity,0.997,posture_decision_experiment/p2/S001/movement_head_T007.csv,posture_decision_experiment/p2/S001/movement_right_hand_T007.csv,posture_decision_experiment/p2/S001/movement_left_hand_T007.csv
p2,1,8,2,2,134.2806,135.4267,Baseline,Hit,134.7253,134.9823,Centre,0,0,1,Infinity,1.3765,posture_decision_experiment/p2/S001/movement_head_T008.csv,posture_decision_experiment/p2/S001/movement_right_hand_T008.csv,posture_decision_experiment/p2/S001/movement_left_hand_T008.csv
p2,1,9,2,3,139.4587,140.2825,Baseline,Hit,139.7919,140.038,Centre,0,0,1,Infinity,1.4256,posture_decision_experiment/p2/S001/movement_head_T009.csv,posture_decision_experiment/p2/S001/movement_right_hand_T009.csv,posture_decision_experiment/p2/S001/movement_left_hand_T009.csv
p2,1,10,2,4,144.4257,146.716,Baseline,Hit,144.881,145.2048,Centre,0,0,1.5,Infinity,1.4717,posture_decision_experiment/p2/S001/movement_head_T010.csv,posture_decision_experiment/p2/S001/movement_right_hand_T010.csv,posture_decision_experiment/p2/S001/movement_left_hand_T010.csv
p2,1,11,2,5,150.7927,151.894,Baseline,Hit,151.148,151.3273,Centre,0,0,1.3,Infinity,1.074,posture_decision_experiment/p2/S001/movement_head_T011.csv,posture_decision_experiment/p2/S001/movement_right_hand_T011.csv,posture_decision_experiment/p2/S001/movement_left_hand_T011.csv
p2,1,12,2,6,155.4368,156.383,Baseline,Hit,155.9369,156.0496,Centre,0,0,1,Infinity,1.0156,posture_decision_experiment/p2/S001/movement_head_T012.csv,posture_decision_experiment/p2/S001/movement_right_hand_T012.csv,posture_decision_experiment/p2/S001/movement_left_hand_T012.csv
p2,1,13,2,7,159.5812,161.1832,Baseline,Hit,159.9813,160.3387,Centre,0,0,1.5,Infinity,0.7974,posture_decision_experiment/p2/S001/movement_head_T013.csv,posture_decision_experiment/p2/S001/movement_right_hand_T013.csv,posture_decision_experiment/p2/S001/movement_left_hand_T013.csv
p2,1,14,2,8,164.982,166.1166,Baseline,Hit,165.4485,165.7166,Centre,0,0,1.3,Infinity,1.1355,posture_decision_experiment/p2/S001/movement_head_T014.csv,posture_decision_experiment/p2/S001/movement_right_hand_T014.csv,posture_decision_experiment/p2/S001/movement_left_hand_T014.csv
p2,1,15,2,9,169.6707,170.6501,Baseline,Hit,170.0818,170.1501,Centre,0,0,1.3,Infinity,1.1069,posture_decision_experiment/p2/S001/movement_head_T015.csv,posture_decision_experiment/p2/S001/movement_right_hand_T015.csv,posture_decision_experiment/p2/S001/movement_left_hand_T015.csv
p2,1,16,2,10,174.0825,175.1281,Baseline,Hit,174.4378,174.6614,Centre,0,0,1.3,Infinity,0.7834,posture_decision_experiment/p2/S001/movement_head_T016.csv,posture_decision_experiment/p2/S001/movement_right_hand_T016.csv,posture_decision_experiment/p2/S001/movement_left_hand_T016.csv
p2,1,17,2,11,177.9152,179.0282,Baseline,Hit,178.3929,178.6726,Centre,0,0,1,Infinity,0.7654,posture_decision_experiment/p2/S001/movement_head_T017.csv,posture_decision_experiment/p2/S001/movement_right_hand_T017.csv,posture_decision_experiment/p2/S001/movement_left_hand_T017.csv
p2,1,18,2,12,181.8266,181.9616,Baseline,FailTooEarly,,,,0,0,1,Infinity,0.7853,posture_decision_experiment/p2/S001/movement_head_T018.csv,posture_decision_experiment/p2/S001/movement_right_hand_T018.csv,posture_decision_experiment/p2/S001/movement_left_hand_T018.csv
p2,1,19,2,13,187.1378,188.4285,Baseline,Hit,187.5157,187.9174,Centre,0,0,1.3,Infinity,0.9996,posture_decision_experiment/p2/S001/movement_head_T019.csv,posture_decision_experiment/p2/S001/movement_right_hand_T019.csv,posture_decision_experiment/p2/S001/movement_left_hand_T019.csv
p2,1,20,2,14,192.2939,193.7731,Baseline,Hit,192.7603,193.1731,Centre,0,0,1.5,Infinity,1.4787,posture_decision_experiment/p2/S001/movement_head_T020.csv,posture_decision_experiment/p2/S001/movement_right_hand_T020.csv,posture_decision_experiment/p2/S001/movement_left_hand_T020.csv
p2,1,21,2,15,197.3381,198.3622,Baseline,Hit,197.6612,198.0733,Centre,0,0,1,Infinity,1.0136,posture_decision_experiment/p2/S001/movement_head_T021.csv,posture_decision_experiment/p2/S001/movement_right_hand_T021.csv,posture_decision_experiment/p2/S001/movement_left_hand_T021.csv
p2,1,22,2,16,201.9832,203.4512,Baseline,Hit,202.316,202.729,Centre,0,0,1.5,Infinity,1.0536,posture_decision_experiment/p2/S001/movement_head_T022.csv,posture_decision_experiment/p2/S001/movement_right_hand_T022.csv,posture_decision_experiment/p2/S001/movement_left_hand_T022.csv
p2,1,23,2,17,206.9274,208.5736,Baseline,Hit,207.4276,207.7402,Centre,0,0,1.5,Infinity,1.018,posture_decision_experiment/p2/S001/movement_head_T023.csv,posture_decision_experiment/p2/S001/movement_right_hand_T023.csv,posture_decision_experiment/p2/S001/movement_left_hand_T023.csv
p2,1,24,2,18,212.0272,213.6293,Baseline,Hit,212.5162,212.9849,Centre,0,0,1.5,Infinity,0.9512,posture_decision_experiment/p2/S001/movement_head_T024.csv,posture_decision_experiment/p2/S001/movement_right_hand_T024.csv,posture_decision_experiment/p2/S001/movement_left_hand_T024.csv
p2,1,25,2,19,217.0829,218.4628,Baseline,Hit,217.4609,217.7406,Centre,0,0,1.5,Infinity,1.0216,posture_decision_experiment/p2/S001/movement_head_T025.csv,posture_decision_experiment/p2/S001/movement_right_hand_T025.csv,posture_decision_experiment/p2/S001/movement_left_hand_T025.csv
p2,1,26,2,20,222.0613,223.5963,Baseline,Hit,222.5391,222.9185,Centre,0,0,1.5,Infinity,1.0893,posture_decision_experiment/p2/S001/movement_head_T026.csv,posture_decision_experiment/p2/S001/movement_right_hand_T026.csv,posture_decision_experiment/p2/S001/movement_left_hand_T026.csv
p2,1,27,2,21,226.839,228.1854,Baseline,Hit,227.328,227.7187,Centre,0,0,1.3,Infinity,0.7896,posture_decision_experiment/p2/S001/movement_head_T027.csv,posture_decision_experiment/p2/S001/movement_right_hand_T027.csv,posture_decision_experiment/p2/S001/movement_left_hand_T027.csv
p2,1,28,2,22,231.5281,232.6411,Baseline,Hit,231.9171,232.1633,Centre,0,0,1.3,Infinity,0.9457,posture_decision_experiment/p2/S001/movement_head_T028.csv,posture_decision_experiment/p2/S001/movement_right_hand_T028.csv,posture_decision_experiment/p2/S001/movement_left_hand_T028.csv
p2,1,29,2,23,235.9614,236.3523,Baseline,FailTooEarly,,,,0,0,1,Infinity,0.9581,posture_decision_experiment/p2/S001/movement_head_T029.csv,posture_decision_experiment/p2/S001/movement_right_hand_T029.csv,posture_decision_experiment/p2/S001/movement_left_hand_T029.csv
p2,1,30,2,24,240.3285,241.3414,Baseline,Hit,240.6725,241.0414,Centre,0,0,1,Infinity,1.4307,posture_decision_experiment/p2/S001/movement_head_T030.csv,posture_decision_experiment/p2/S001/movement_right_hand_T030.csv,posture_decision_experiment/p2/S001/movement_left_hand_T030.csv
p2,1,31,2,25,245.1173,245.9415,Baseline,Hit,245.4617,245.5637,Centre,0,0,1.3,Infinity,1.421,posture_decision_experiment/p2/S001/movement_head_T031.csv,posture_decision_experiment/p2/S001/movement_right_hand_T031.csv,posture_decision_experiment/p2/S001/movement_left_hand_T031.csv
