time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
128.5382,0.0115,1.5191,0.116,13.3209,0.2514,2.0798
128.5493,0.0115,1.5191,0.1161,13.2582,0.2942,2.1314
128.5605,0.0115,1.5192,0.1164,13.3237,0.3159,2.1058
128.5712,0.0115,1.5191,0.1165,13.3473,0.3212,2.1435
128.5828,0.0113,1.5193,0.1167,13.3548,0.3685,2.114
128.5944,0.0113,1.5191,0.1169,13.3257,0.3504,2.1036
128.6052,0.0112,1.5191,0.1171,13.3398,0.4004,2.1483
128.6161,0.0111,1.5191,0.1173,13.348,0.3815,2.1449
128.6271,0.0111,1.5191,0.1175,13.3668,0.4169,2.1424
128.6382,0.011,1.519,0.1177,13.4497,0.426,2.1555
128.6494,0.0109,1.519,0.1178,13.4395,0.4657,2.1853
128.6604,0.0109,1.5189,0.118,13.4432,0.4324,2.1537
128.6717,0.0109,1.5189,0.1181,13.4603,0.4326,2.1426
128.6828,0.0108,1.5189,0.1184,13.4437,0.4485,2.1576
128.6939,0.0108,1.519,0.1185,13.4784,0.4494,2.1726
128.7051,0.0108,1.519,0.1186,13.4619,0.4454,2.1559
128.7162,0.0107,1.5191,0.1187,13.4454,0.4864,2.154
128.7271,0.0107,1.5191,0.119,13.4308,0.5238,2.156
128.7381,0.0106,1.5192,0.1192,13.4296,0.5424,2.1559
128.7493,0.0105,1.5192,0.1193,13.3738,0.496,2.1851
128.7603,0.0105,1.5193,0.1194,13.3513,0.4888,2.1592
128.7717,0.0105,1.5195,0.1196,13.2755,0.5165,2.1468
128.7826,0.0105,1.5198,0.1198,13.2508,0.5275,2.1262
128.7938,0.0104,1.5202,0.12,13.1498,0.5903,2.1019
128.8049,0.0102,1.5208,0.1203,13.072,0.6346,2.0299
128.8162,0.0101,1.5214,0.1205,12.9361,0.6701,2.009
128.8267,0.0098,1.5223,0.1206,12.7236,0.7129,2.0118
128.8383,0.0096,1.5234,0.1208,12.4785,0.7414,1.941
128.8493,0.0094,1.5245,0.121,12.3136,0.8069,1.828
128.8604,0.0091,1.5262,0.1215,11.9695,0.826,1.7854
