time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
426.2899,0.0071,1.2487,0.308,16.4533,146.6061,0.8122
426.301,0.0072,1.2486,0.308,16.4197,146.6231,0.8954
426.3119,0.0072,1.2486,0.3081,16.417,146.6321,0.9524
426.3238,0.0072,1.2487,0.3081,16.4271,146.6523,0.9712
426.334,0.0073,1.2487,0.3081,16.4291,146.6611,0.9747
426.3452,0.0072,1.2488,0.3081,16.4475,146.6426,0.975
426.3567,0.0072,1.2488,0.3081,16.4561,146.6068,0.9769
426.3673,0.0071,1.2489,0.308,16.4489,146.5435,0.9749
426.3787,0.0071,1.249,0.3081,16.4505,146.5151,0.9931
426.3896,0.0071,1.2491,0.3081,16.468,146.5256,1.0118
426.401,0.0072,1.2492,0.3082,16.4975,146.5339,1.0349
426.412,0.0072,1.2494,0.3082,16.531,146.5565,1.0563
426.4234,0.0072,1.2495,0.3082,16.5669,146.5905,1.0938
426.4341,0.0073,1.2495,0.3082,16.6017,146.6131,1.1435
426.4452,0.0072,1.2495,0.3081,16.6071,146.5814,1.1525
426.4562,0.007,1.2494,0.3079,16.5988,146.4931,1.1185
426.4673,0.0068,1.2494,0.3077,16.6125,146.3346,1.007
426.4783,0.0067,1.2493,0.3075,16.6288,146.1924,0.8569
426.4895,0.0065,1.2492,0.3074,16.6269,146.0659,0.6889
426.5011,0.0064,1.2492,0.3073,16.643,145.9893,0.58
426.512,0.0064,1.2492,0.3073,16.6643,145.9361,0.5241
426.5231,0.0064,1.2492,0.3073,16.6533,145.9288,0.5398
426.5342,0.0065,1.2492,0.3074,16.6455,145.9441,0.5501
426.5453,0.0065,1.2492,0.3074,16.636,145.9428,0.5211
426.5563,0.0065,1.2493,0.3074,16.6473,145.9257,0.4856
426.5672,0.0064,1.2494,0.3074,16.6636,145.8763,0.4207
426.5787,0.0064,1.2496,0.3074,16.6895,145.8314,0.3706
426.5898,0.0064,1.2498,0.3074,16.7189,145.8184,0.3717
426.6011,0.0064,1.2501,0.3074,16.7707,145.8236,0.4109
426.6121,0.0064,1.2503,0.3075,16.8171,145.8269,0.4536
426.623,0.0064,1.2506,0.3076,16.8699,145.8215,0.4901
426.6342,0.0063,1.2508,0.3076,16.9255,145.8119,0.4808
426.645,0.0062,1.2511,0.3077,16.9839,145.7922,0.4351
426.6565,0.0061,1.2513,0.3077,17.031,145.7607,0.3788
426.6674,0.0059,1.2515,0.3078,17.0963,145.7226,0.3218
426.6785,0.0058,1.2517,0.3079,17.1502,145.6966,0.2864
426.6897,0.0057,1.2519,0.308,17.203,145.6794,0.2554
426.7018,0.0055,1.252,0.3081,17.2441,145.6715,0.2209
426.7122,0.0054,1.2521,0.3082,17.2741,145.6563,0.1781
426.7232,0.0051,1.2522,0.3082,17.2883,145.6035,0.1328
426.7343,0.005,1.2524,0.3083,17.3324,145.5831,0.0522
426.7453,0.0047,1.2525,0.3083,17.3744,145.5363,-0.0024
426.7564,0.0046,1.2527,0.3083,17.4195,145.5205,359.9934
426.7675,0.0045,1.2527,0.3085,17.4358,145.5072,0.0573
426.7785,0.0044,1.2528,0.3086,17.4534,145.5268,0.1362
426.7897,0.0044,1.2529,0.3087,17.474,145.556,0.1884
426.8017,0.0043,1.253,0.3089,17.5121,145.5918,0.236
426.812,0.0042,1.2531,0.309,17.5516,145.6104,0.2717
426.823,0.0041,1.2532,0.3092,17.5949,145.6144,0.2933
426.8343,0.004,1.2535,0.3094,17.6672,145.6185,0.3252
426.8453,0.0039,1.2536,0.3098,17.7571,145.6325,0.4365
426.8563,0.0038,1.2537,0.3102,17.7505,145.6447,0.5493
426.8675,0.0034,1.2539,0.311,17.7274,145.6159,0.7057
426.8786,0.0029,1.2544,0.3125,17.7127,145.5848,0.8561
426.8897,0.0026,1.2551,0.3143,17.7192,145.708,1.0776
426.9014,0.0026,1.2568,0.3173,17.801,145.9809,1.3948
426.9119,0.0028,1.2597,0.3216,18.2317,146.4827,1.7097
426.9233,0.0039,1.2633,0.3274,19.0166,147.7005,2.4459
426.9342,0.0047,1.2662,0.3339,19.4448,149.1212,3.6256
426.9452,0.0046,1.269,0.3429,19.4071,150.6546,5.4192
426.9564,0.0038,1.2717,0.3516,19.1947,151.6854,6.8724
426.9674,0.002,1.2757,0.3623,19.1849,152.5528,7.87
426.9785,-0.0012,1.2808,0.3736,19.7165,152.8678,7.8345
426.9897,-0.0049,1.2856,0.3841,20.4165,152.7389,7.2207
427.0009,-0.0103,1.2914,0.398,21.1684,152.4773,6.2009
427.0119,-0.0159,1.2967,0.4115,21.7601,152.2597,5.3995
427.0235,-0.0235,1.3033,0.4295,22.5387,151.9207,4.6776
427.0343,-0.0306,1.3088,0.4461,23.1454,151.6219,4.143
427.045,-0.0399,1.315,0.4685,23.6311,151.2184,3.5191
427.0564,-0.048,1.3197,0.4889,23.6434,150.9669,3.0274
427.0674,-0.0587,1.3253,0.5161,23.3213,150.7152,2.2371
427.0788,-0.0707,1.3313,0.546,22.7225,150.4547,1.0897
427.0897,-0.0809,1.3375,0.5722,22.4441,150.58,359.9539
427.1019,-0.0942,1.3449,0.6003,22.7532,150.3,358.2852
427.112,-0.1089,1.3534,0.6335,22.9989,149.6651,356.1532
427.123,-0.1223,1.361,0.6637,22.9542,149.416,354.4506
427.1343,-0.1343,1.3675,0.6937,22.4286,149.408,353.8133
427.1452,-0.1466,1.3763,0.733,21.6049,150.5337,353.7606
427.1568,-0.1539,1.3849,0.7646,21.7303,152.8448,353.9773
427.1676,-0.1645,1.3949,0.8004,22.8574,155.5747,352.7885
427.1789,-0.1771,1.4054,0.8363,23.9938,156.4353,350.2385
427.19,-0.1869,1.4138,0.8657,25.1042,157.0865,347.7434
427.201,-0.1978,1.4231,0.9004,25.3806,158.2153,345.7825
427.2124,-0.2042,1.4303,0.9279,25.4776,159.4173,346.0754
427.2232,-0.2112,1.4371,0.9614,25.3346,160.7979,347.9161
427.2344,-0.2152,1.4388,0.9852,23.7077,162.0915,349.4245
427.2455,-0.2198,1.4389,1.0099,20.9886,162.963,350.3494
427.2566,-0.2225,1.439,1.0293,19.5099,163.2274,352.1901
427.2679,-0.2226,1.4359,1.0419,17.8916,162.9823,354.8453
427.2788,-0.2204,1.4308,1.0537,14.0456,164.3251,355.9861
427.2902,-0.2219,1.4326,1.059,11.5311,166.2352,352.5739
427.3013,-0.2334,1.4466,1.0605,12,167.3792,343.079
427.3122,-0.2484,1.4646,1.0601,17.553,165.1131,337.3216
427.3233,-0.2588,1.4766,1.0548,24.8586,162.5403,339.7617
427.3343,-0.2639,1.4769,1.0523,26.9992,161.5672,345.3447
427.3459,-0.2697,1.474,1.0532,26.2507,159.8087,347.5529
427.3569,-0.2757,1.4692,1.0557,25.1828,157.002,347.366
427.368,-0.2772,1.4638,1.0597,24.0161,155.4942,347.0831
427.3791,-0.275,1.4566,1.0673,21.9563,156.1862,347.2654
427.3902,-0.2715,1.453,1.0729,20.6664,158.4703,347.6489
