ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p20,1,1,1,1,29.7646,38.65684,Practice,Hit,30.16476,31.18993,Centre,0,0,1.5,Infinity,1.2754,posture_decision_experiment/p20/S001/movement_head_T001.csv,posture_decision_experiment/p20/S001/movement_right_hand_T001.csv,posture_decision_experiment/p20/S001/movement_left_hand_T001.csv
p20,1,2,1,2,46.87668,48.6794,Practice,Hit,47.26527,47.93493,Centre,0,0,1.3,Infinity,1.477,posture_decision_experiment/p20/S001/movement_head_T002.csv,posture_decision_experiment/p20/S001/movement_right_hand_T002.csv,posture_decision_experiment/p20/S001/movement_left_hand_T002.csv
p20,1,3,1,3,55.44293,57.05746,Practice,Hit,55.88715,56.41299,Centre,0,0,1,Infinity,1.2779,posture_decision_experiment/p20/S001/movement_head_T003.csv,posture_decision_experiment/p20/S001/movement_right_hand_T003.csv,posture_decision_experiment/p20/S001/movement_left_hand_T003.csv
p20,1,4,1,4,60.49807,63.22433,Practice,Hit,60.89803,61.41315,Centre,0,0,1.5,Infinity,0.7957,posture_decision_experiment/p20/S001/movement_head_T004.csv,posture_decision_experiment/p20/S001/movement_right_hand_T004.csv,posture_decision_experiment/p20/S001/movement_left_hand_T004.csv
p20,1,5,1,5,67.12118,68.56895,Practice,Hit,67.48793,67.95782,Centre,0,0,1.3,Infinity,0.9835,posture_decision_experiment/p20/S001/movement_head_T005.csv,posture_decision_experiment/p20/S001/movement_right_hand_T005.csv,posture_decision_experiment/p20/S001/movement_left_hand_T005.csv
p20,1,6,1,6,72.19914,73.44689,Practice,Hit,72.67715,73.11355,Centre,0,0,1,Infinity,1.0373,posture_decision_experiment/p20/S001/movement_head_T006.csv,posture_decision_experiment/p20/S001/movement_right_hand_T006.csv,posture_decision_experiment/p20/S001/movement_left_hand_T006.csv
p20,1,7,2,1,83.94385,84.82504,Baseline,Hit,84.29933,84.48059,Centre,0,0,1,Infinity,1.4991,posture_decision_experiment/p20/S001/movement_head_T007.csv,posture_decision_experiment/p20/S001/movement_right_hand_T007.csv,posture_decision_experiment/p20/S001/movement_left_hand_T007.csv
p20,1,8,2,2,88.6665,90.45856,Baseline,Hit,89.01034,89.5252,Centre,0,0,1.5,Infinity,1.1829,posture_decision_experiment/p20/S001/movement_head_T008.csv,posture_decision_experiment/p20/S001/movement_right_hand_T008.csv,posture_decision_experiment/p20/S001/movement_left_hand_T008.csv
p20,1,9,2,3,94.63326,96.64766,Baseline,Hit,95.05573,95.6254,Centre,0,0,1.5,Infinity,1.449,posture_decision_experiment/p20/S001/movement_head_T009.csv,posture_decision_experiment/p20/S001/movement_right_hand_T009.csv,posture_decision_experiment/p20/S001/movement_left_hand_T009.csv
p20,1,10,2,4,100.6002,102.259,Baseline,Hit,101.0444,101.4145,Centre,0,0,1.5,Infinity,1.1516,posture_decision_experiment/p20/S001/movement_head_T010.csv,posture_decision_experiment/p20/S001/movement_right_hand_T010.csv,posture_decision_experiment/p20/S001/movement_left_hand_T010.csv
