time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
358.0349,-0.0285,1.6383,0.1874,33.6517,7.3685,0.2928
358.046,-0.0285,1.6384,0.1873,33.6037,7.2778,0.2534
358.0573,-0.0285,1.6384,0.1872,33.5217,7.2975,0.301
358.0682,-0.0286,1.6386,0.1872,33.4534,7.291,0.3161
358.08,-0.0285,1.6386,0.1871,33.426,7.263,0.2954
358.0906,-0.0285,1.6387,0.1871,33.3548,7.2534,0.2859
358.1015,-0.0285,1.6388,0.1871,33.3159,7.1548,0.1921
358.1129,-0.0285,1.6388,0.187,33.3039,7.1491,0.2156
358.1238,-0.0285,1.6389,0.187,33.2566,7.18,0.2544
358.1349,-0.0284,1.639,0.1869,33.1659,7.1881,0.2565
358.1461,-0.0283,1.6391,0.1868,33.1208,7.1229,0.2074
358.1567,-0.0283,1.6392,0.1869,33.0593,7.1484,0.2267
358.168,-0.0283,1.6393,0.1868,33.0375,7.1181,0.1987
358.1804,-0.0282,1.6393,0.1867,32.9408,7.1474,0.2229
358.1904,-0.0282,1.6394,0.1868,32.9228,7.1143,0.1533
358.2015,-0.0281,1.6395,0.1867,32.8417,7.0994,0.1586
358.213,-0.0281,1.6395,0.1868,32.8321,7.1098,0.1743
358.2238,-0.0281,1.6395,0.1868,32.7971,7.1322,0.175
358.2347,-0.028,1.6394,0.1868,32.7829,7.0997,0.1421
358.2458,-0.028,1.6395,0.1868,32.7678,7.1545,0.2057
358.257,-0.028,1.6395,0.1868,32.7536,7.1711,0.2241
358.268,-0.028,1.6395,0.1868,32.7321,7.1353,0.2241
358.2793,-0.028,1.6395,0.1868,32.7635,7.1277,0.2185
358.2905,-0.0279,1.6395,0.1869,32.7377,7.1186,0.1738
358.3016,-0.0279,1.6394,0.187,32.724,7.1424,0.2315
358.3129,-0.0279,1.6394,0.187,32.7341,7.1855,0.2249
358.3238,-0.0279,1.6394,0.1872,32.6873,7.1066,0.2081
358.3352,-0.028,1.6393,0.1872,32.7483,7.0768,0.2063
358.3459,-0.0279,1.6393,0.1872,32.717,7.0709,0.2232
358.3574,-0.028,1.6393,0.1873,32.7456,7.0688,0.2251
358.3682,-0.028,1.6392,0.1874,32.7033,7.0989,0.2375
358.3801,-0.028,1.6392,0.1874,32.7161,7.0341,0.2242
358.3904,-0.0281,1.6393,0.1875,32.7714,6.9916,0.2075
358.4013,-0.0281,1.6392,0.1876,32.785,6.983,0.2043
358.4125,-0.0281,1.6393,0.1877,32.7539,6.9487,0.2096
358.4236,-0.0282,1.6393,0.1877,32.7521,6.9823,0.2378
358.4347,-0.0282,1.6393,0.1878,32.7763,6.9463,0.2794
358.446,-0.0283,1.6393,0.1879,32.7492,6.9133,0.2483
358.457,-0.0283,1.6393,0.1879,32.7347,6.9334,0.2751
358.4685,-0.0284,1.6394,0.1882,32.737,6.8953,0.2578
358.4792,-0.0285,1.6393,0.1882,32.7441,6.8835,0.3019
358.4904,-0.0285,1.6392,0.1883,32.689,6.8617,0.3147
358.5015,-0.0285,1.6393,0.1884,32.7272,6.8469,0.2592
358.5126,-0.0285,1.6392,0.1886,32.688,6.8145,0.2463
358.5239,-0.0286,1.6392,0.1887,32.7059,6.8601,0.2468
358.5349,-0.0286,1.6392,0.1888,32.6785,6.8038,0.208
358.5458,-0.0287,1.6391,0.1889,32.7076,6.8175,0.2622
358.5569,-0.0288,1.6392,0.189,32.6974,6.8237,0.2747
