ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p31,1,21,2,15,134.8477,135.7601,Baseline,Hit,135.1696,135.549,Centre,0,0,1.3,Infinity,1.0842,posture_decision_experiment/p31/S001/movement_head_T021.csv,posture_decision_experiment/p31/S001/movement_right_hand_T021.csv,posture_decision_experiment/p31/S001/movement_left_hand_T021.csv
p31,1,22,2,16,139.059,139.8047,Baseline,Hit,139.3809,139.6713,Centre,0,0,1,Infinity,1.2843,posture_decision_experiment/p31/S001/movement_head_T022.csv,posture_decision_experiment/p31/S001/movement_right_hand_T022.csv,posture_decision_experiment/p31/S001/movement_left_hand_T022.csv
p31,1,23,2,17,142.9815,143.9603,Baseline,Hit,143.3371,143.7381,Centre,0,0,1.3,Infinity,0.8756,posture_decision_experiment/p31/S001/movement_head_T023.csv,posture_decision_experiment/p31/S001/movement_right_hand_T023.csv,posture_decision_experiment/p31/S001/movement_left_hand_T023.csv
p31,1,24,2,18,146.837,148.2605,Baseline,Hit,147.337,147.7049,Centre,0,0,1.5,Infinity,0.8574,posture_decision_experiment/p31/S001/movement_head_T024.csv,posture_decision_experiment/p31/S001/movement_right_hand_T024.csv,posture_decision_experiment/p31/S001/movement_left_hand_T024.csv
p31,1,25,2,19,151.7368,153.2162,Baseline,Hit,152.0815,152.4495,Centre,0,0,1.5,Infinity,1.1895,posture_decision_experiment/p31/S001/movement_head_T025.csv,posture_decision_experiment/p31/S001/movement_right_hand_T025.csv,posture_decision_experiment/p31/S001/movement_left_hand_T025.csv
p31,1,26,2,20,156.293,157.4052,Baseline,Hit,156.7265,157.1719,Centre,0,0,1.3,Infinity,1.0551,posture_decision_experiment/p31/S001/movement_head_T026.csv,posture_decision_experiment/p31/S001/movement_right_hand_T026.csv,posture_decision_experiment/p31/S001/movement_left_hand_T026.csv
p31,1,27,2,21,160.5929,161.5832,Baseline,Hit,161.0376,161.372,Centre,0,0,1.3,Infinity,0.8937,posture_decision_experiment/p31/S001/movement_head_T027.csv,posture_decision_experiment/p31/S001/movement_right_hand_T027.csv,posture_decision_experiment/p31/S001/movement_left_hand_T027.csv
p31,1,28,2,22,164.7152,165.5833,Baseline,Hit,165.1596,165.4388,Centre,0,0,1,Infinity,1.1208,posture_decision_experiment/p31/S001/movement_head_T028.csv,posture_decision_experiment/p31/S001/movement_right_hand_T028.csv,posture_decision_experiment/p31/S001/movement_left_hand_T028.csv
p31,1,29,2,23,168.8267,169.239,Baseline,FailTooEarly,,,,0,0,1,Infinity,1.2282,posture_decision_experiment/p31/S001/movement_head_T029.csv,posture_decision_experiment/p31/S001/movement_right_hand_T029.csv,posture_decision_experiment/p31/S001/movement_left_hand_T029.csv
p31,1,30,2,24,172.0491,173.7058,Baseline,Hit,172.4487,172.9613,Centre,0,0,1.5,Infinity,0.7896,posture_decision_experiment/p31/S001/movement_head_T030.csv,posture_decision_experiment/p31/S001/movement_right_hand_T030.csv,posture_decision_experiment/p31/S001/movement_left_hand_T030.csv
p31,1,31,2,25,176.8495,177.7726,Baseline,Hit,177.2048,177.5504,Centre,0,0,1.3,Infinity,1.1245,posture_decision_experiment/p31/S001/movement_head_T031.csv,posture_decision_experiment/p31/S001/movement_right_hand_T031.csv,posture_decision_experiment/p31/S001/movement_left_hand_T031.csv
p31,1,32,2,26,181.238,182.2172,Baseline,Hit,181.7046,182.0283,Centre,0,0,1.3,Infinity,1.4441,posture_decision_experiment/p31/S001/movement_head_T032.csv,posture_decision_experiment/p31/S001/movement_right_hand_T032.csv,posture_decision_experiment/p31/S001/movement_left_hand_T032.csv
p31,1,33,2,27,185.6492,186.6062,Baseline,Hit,185.9936,186.3173,Centre,0,0,1.5,Infinity,1.4138,posture_decision_experiment/p31/S001/movement_head_T033.csv,posture_decision_experiment/p31/S001/movement_right_hand_T033.csv,posture_decision_experiment/p31/S001/movement_left_hand_T033.csv
p31,1,34,3,1,195.3941,196.351,Main,NoGo,195.8942,,,0,5,1,0.4666824,0.7666,posture_decision_experiment/p31/S001/movement_head_T034.csv,posture_decision_experiment/p31/S001/movement_right_hand_T034.csv,posture_decision_experiment/p31/S001/movement_left_hand_T034.csv
p31,1,35,3,2,199.2054,199.6511,Main,FailTooEarly,,,,0,5,1,0.4666824,0.8355,posture_decision_experiment/p31/S001/movement_head_T035.csv,posture_decision_experiment/p31/S001/movement_right_hand_T035.csv,posture_decision_experiment/p31/S001/movement_left_hand_T035.csv
p31,1,36,3,3,203.2721,204.5513,Main,Miss,203.6173,204.3624,Left,0,5,1.5,0.9333649,1.3754,posture_decision_experiment/p31/S001/movement_head_T036.csv,posture_decision_experiment/p31/S001/movement_right_hand_T036.csv,posture_decision_experiment/p31/S001/movement_left_hand_T036.csv
p31,1,37,3,4,207.5946,208.3958,Main,Skipped,208.0387,208.3069,Left,1,5,1.3,0.6222382,1.0247,posture_decision_experiment/p31/S001/movement_head_T037.csv,posture_decision_experiment/p31/S001/movement_right_hand_T037.csv,posture_decision_experiment/p31/S001/movement_left_hand_T037.csv
p31,1,38,3,5,211.6837,212.5182,Main,Hit,212.0832,212.396,Left,6,5,1,0.4666824,0.9467,posture_decision_experiment/p31/S001/movement_head_T038.csv,posture_decision_experiment/p31/S001/movement_right_hand_T038.csv,posture_decision_experiment/p31/S001/movement_left_hand_T038.csv
