time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
347.1583,-0.0416,1.1975,0.3431,26.2094,146.6247,358.3985
347.1696,-0.0417,1.1975,0.343,26.2161,146.6155,358.4038
347.1806,-0.0419,1.1975,0.3429,26.2359,146.5503,358.3611
347.1926,-0.0421,1.1975,0.3429,26.2538,146.5127,358.3644
347.2029,-0.0422,1.1975,0.3428,26.2524,146.4857,358.4274
347.2138,-0.0423,1.1974,0.3428,26.2197,146.4642,358.5063
347.225,-0.0425,1.1972,0.343,26.1611,146.4918,358.5668
347.2364,-0.0426,1.1971,0.343,26.1347,146.4923,358.5657
347.2473,-0.0427,1.197,0.343,26.1316,146.4622,358.528
347.2583,-0.0429,1.197,0.343,26.1275,146.403,358.5021
347.2697,-0.043,1.1969,0.343,26.1249,146.38,358.5254
347.2805,-0.043,1.1968,0.3432,26.0929,146.4164,358.5838
347.2924,-0.0431,1.1967,0.3433,26.0574,146.4455,358.6179
347.3031,-0.0432,1.1966,0.3434,26.0479,146.4554,358.6341
347.3141,-0.0433,1.1966,0.3434,26.0465,146.4469,358.6432
347.3255,-0.0434,1.1965,0.3435,26.0478,146.3997,358.6466
347.3365,-0.0434,1.1966,0.3436,26.0448,146.4034,358.6903
347.3476,-0.0434,1.1967,0.3437,26.0453,146.4319,358.7519
347.3584,-0.0435,1.1967,0.3436,26.0511,146.3997,358.7816
347.3695,-0.0435,1.1969,0.3437,26.058,146.37,358.7885
347.3808,-0.0436,1.197,0.3438,26.0661,146.3991,358.8448
347.3919,-0.0436,1.1971,0.3439,26.0696,146.4143,358.8977
347.4033,-0.0435,1.1972,0.3441,26.0743,146.4437,358.9774
347.4141,-0.0435,1.1973,0.3442,26.0733,146.4861,359.0717
347.4252,-0.0435,1.1973,0.3444,26.0818,146.4922,359.11
347.4362,-0.0435,1.1974,0.3445,26.1091,146.4925,359.0918
347.4476,-0.0435,1.1975,0.3446,26.1343,146.4886,359.0403
347.4584,-0.0435,1.1976,0.3447,26.166,146.4933,358.9715
347.4695,-0.0434,1.1977,0.3449,26.1859,146.5427,358.9918
347.4807,-0.0434,1.1978,0.345,26.1968,146.6037,359.0585
347.4919,-0.0433,1.1978,0.3452,26.1765,146.6361,359.1265
347.5031,-0.0432,1.1979,0.3454,26.1814,146.6854,359.2017
347.5139,-0.0431,1.198,0.3455,26.1935,146.7385,359.26
347.5249,-0.0431,1.1981,0.3456,26.2095,146.7973,359.3109
347.5362,-0.0431,1.1982,0.3457,26.2293,146.8079,359.3324
347.5472,-0.043,1.1982,0.3459,26.2195,146.8446,359.366
347.5584,-0.0429,1.1982,0.346,26.2049,146.8936,359.4203
347.5697,-0.0429,1.1983,0.3461,26.2143,146.9215,359.4536
347.5806,-0.0429,1.1983,0.3462,26.2123,146.9542,359.5136
347.5924,-0.0429,1.1983,0.3463,26.1969,146.9759,359.5794
347.603,-0.0429,1.1983,0.3463,26.1877,146.9785,359.6277
347.614,-0.0429,1.1983,0.3464,26.1789,146.9471,359.6449
347.6251,-0.0429,1.1982,0.3466,26.1788,146.9543,359.6884
347.6361,-0.0429,1.1981,0.3466,26.1631,146.9619,359.705
347.6474,-0.0429,1.1981,0.3468,26.1422,146.984,359.7378
347.6584,-0.0429,1.1981,0.3468,26.1416,146.9996,359.7536
347.6695,-0.043,1.198,0.3468,26.1311,146.9848,359.7902
347.6805,-0.043,1.198,0.347,26.1212,146.9933,359.8376
347.6916,-0.043,1.1979,0.3471,26.1116,146.9996,359.897
347.7027,-0.0431,1.1978,0.3472,26.0839,147.0006,359.9462
347.7141,-0.0431,1.1977,0.3473,26.0596,147.0113,359.9904
347.7252,-0.0432,1.1975,0.3475,26.0406,147.0327,0.0163
347.7361,-0.0433,1.1974,0.3476,26.0199,147.034,0.0112
347.7474,-0.0434,1.1974,0.3477,26.0196,147.0216,0.0101
347.7584,-0.0434,1.1973,0.3478,26.0069,147.0164,0.0397
347.7697,-0.0435,1.1973,0.3478,25.9967,147.0232,0.1046
347.7807,-0.0435,1.1973,0.3479,25.9873,147.0573,0.224
347.7922,-0.0436,1.1973,0.3481,25.9779,147.0877,0.3294
347.8029,-0.0436,1.1972,0.3482,25.962,147.1292,0.4563
347.8141,-0.0437,1.1972,0.3483,25.95,147.1319,0.5458
347.8251,-0.0438,1.1972,0.3484,25.9417,147.1348,0.6473
347.8363,-0.0439,1.1971,0.3486,25.9242,147.1081,0.7298
347.8473,-0.0441,1.1971,0.3487,25.905,147.0488,0.7337
347.8584,-0.0443,1.197,0.3489,25.9004,147.0017,0.7229
347.8698,-0.0444,1.197,0.349,25.8817,146.9908,0.7152
347.8809,-0.0446,1.1969,0.3492,25.8564,146.9694,0.7383
347.8915,-0.0448,1.1969,0.3493,25.832,146.9475,0.7745
347.903,-0.045,1.1969,0.3496,25.7989,146.9204,0.8531
347.914,-0.0452,1.1969,0.3498,25.7851,146.8897,0.9357
347.925,-0.0455,1.1969,0.3501,25.7226,146.8385,1.0433
347.9363,-0.0458,1.1969,0.3504,25.6354,146.7886,1.1563
347.9474,-0.0461,1.1969,0.3508,25.5428,146.7641,1.2853
347.9583,-0.0466,1.197,0.3516,25.3349,146.7881,1.5886
347.9694,-0.0473,1.1972,0.3527,25.0055,146.8456,2.0976
347.9806,-0.0488,1.1977,0.3552,24.2704,147.0116,3.2083
347.9917,-0.0505,1.1991,0.3582,23.3923,147.2101,4.739
348.0027,-0.0535,1.2026,0.3636,22.1118,147.2301,7.5167
348.014,-0.0567,1.207,0.37,21.2375,147.033,10.4287
348.025,-0.0617,1.215,0.3803,20.5559,146.6357,13.6688
348.0362,-0.0662,1.2238,0.3906,20.6142,146.3265,15.6141
348.0474,-0.0718,1.2377,0.4056,21.3202,146.2479,16.8
348.0587,-0.0781,1.2552,0.4218,23.225,146.3979,16.6086
348.0696,-0.0841,1.2718,0.4362,25.6692,146.3541,15.7177
348.0807,-0.0921,1.2918,0.4546,28.6523,146.459,14.077
348.0916,-0.1,1.3087,0.4711,30.8368,146.5281,12.6478
348.1028,-0.1109,1.3284,0.4926,32.8483,146.5297,11.5224
348.1141,-0.1206,1.3434,0.5136,33.5652,146.8546,11.8482
348.1249,-0.1314,1.3591,0.5426,32.7278,148.3493,14.642
348.1364,-0.14,1.3713,0.572,30.9673,150.6989,18.6807
348.1476,-0.1484,1.3827,0.6066,28.1132,154.1135,23.7857
348.1584,-0.157,1.3938,0.6408,25.8252,156.9073,27.2576
348.1695,-0.1634,1.4033,0.6668,25.4404,158.4409,27.548
