time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
398.2527,0.0262,1.6781,0.1935,27.6607,357.9611,1.2711
398.264,0.0262,1.6783,0.1934,27.5559,357.9662,1.2613
398.2752,0.0262,1.6785,0.1933,27.4503,358.011,1.2738
398.2862,0.0262,1.6787,0.1932,27.3463,358.0259,1.2586
398.2969,0.0262,1.6788,0.1932,27.2243,358.083,1.278
398.3086,0.0262,1.679,0.1931,27.1324,358.077,1.233
398.3197,0.0262,1.6793,0.193,27.0119,358.1113,1.2323
398.3306,0.0263,1.6794,0.1929,26.9527,358.1178,1.2374
398.3419,0.0262,1.6796,0.1929,26.8129,358.146,1.2561
398.3527,0.0262,1.6797,0.1928,26.7184,358.1231,1.2488
398.3641,0.0262,1.6798,0.1927,26.6297,358.1725,1.2783
398.3751,0.0262,1.6799,0.1927,26.5616,358.1712,1.2188
398.3861,0.0262,1.68,0.1926,26.4791,358.2226,1.2501
398.3971,0.0261,1.6801,0.1926,26.4036,358.1752,1.2662
398.4084,0.0262,1.6802,0.1924,26.3538,358.2247,1.2526
398.4194,0.0262,1.6804,0.1924,26.23,358.2981,1.3007
398.4311,0.0261,1.6804,0.1924,26.1816,358.3279,1.3239
398.442,0.0261,1.6805,0.1923,26.1129,358.3907,1.3414
398.4527,0.0261,1.6805,0.1923,26.0998,358.3475,1.3165
398.4641,0.0261,1.6807,0.1923,26.0203,358.3636,1.3042
398.4752,0.0261,1.6807,0.1922,26.0046,358.4346,1.341
398.4862,0.0261,1.6808,0.1922,25.9263,358.45,1.32
398.4974,0.026,1.6809,0.1922,25.8604,358.4356,1.319
398.5085,0.0259,1.681,0.1922,25.8189,358.4274,1.316
398.5197,0.0259,1.6811,0.1922,25.7641,358.4302,1.2809
398.5308,0.0257,1.6811,0.1922,25.7469,358.4022,1.2685
398.5417,0.0255,1.6812,0.1922,25.6986,358.4369,1.2427
398.5528,0.0255,1.6812,0.1922,25.6724,358.4375,1.2121
398.5639,0.0253,1.6813,0.1922,25.5682,358.4406,1.2422
398.5754,0.0252,1.6813,0.1922,25.5636,358.4364,1.2399
398.5859,0.0251,1.6814,0.1923,25.5142,358.4138,1.2869
398.5972,0.0249,1.6815,0.1923,25.4681,358.3948,1.305
398.6082,0.0247,1.6816,0.1923,25.4128,358.4229,1.2679
398.6195,0.0245,1.6817,0.1924,25.3445,358.3689,1.2696
398.6315,0.0244,1.6817,0.1924,25.3021,358.3611,1.3004
398.6421,0.0242,1.6818,0.1925,25.2885,358.2952,1.2295
398.6529,0.024,1.6819,0.1926,25.2419,358.2878,1.24
398.6642,0.0238,1.6819,0.1927,25.1868,358.2732,1.2949
398.6751,0.0237,1.682,0.1927,25.1656,358.2937,1.3242
398.6863,0.0235,1.682,0.1928,25.0958,358.2513,1.3162
398.6973,0.0234,1.6821,0.1929,25.0859,358.2748,1.3471
398.7087,0.0231,1.6821,0.1931,25.0192,358.23,1.3388
398.7195,0.0229,1.6822,0.1932,25.017,358.2362,1.3508
398.7309,0.0228,1.6822,0.1934,24.9601,358.2475,1.3957
398.742,0.0226,1.6823,0.1935,24.9284,358.2249,1.4058
398.753,0.0224,1.6822,0.1937,24.9054,358.2328,1.4447
398.7641,0.0222,1.6823,0.1938,24.8935,358.243,1.4055
398.7753,0.022,1.6823,0.194,24.9073,358.2369,1.4185
398.7864,0.0218,1.6824,0.1942,24.8688,358.2436,1.4474
398.7974,0.0215,1.6826,0.1945,24.8057,358.2305,1.4366
398.8084,0.0214,1.6829,0.1947,24.7717,358.1533,1.3657
398.8198,0.0211,1.6832,0.195,24.6983,358.1667,1.3229
398.8311,0.0208,1.6836,0.1952,24.5765,358.0948,1.2626
398.8419,0.0202,1.6842,0.1955,24.4276,358.0201,1.2144
398.8531,0.0198,1.6848,0.196,24.2062,357.9606,1.2115
398.8642,0.0192,1.6857,0.1965,23.882,357.7419,1.2058
398.8754,0.0188,1.6863,0.1971,23.5141,357.5125,1.1981
398.8864,0.0183,1.6866,0.1977,23.0295,357.2099,1.1272
398.8974,0.0181,1.6867,0.1982,22.4383,356.903,1.0293
398.9085,0.0181,1.6868,0.1989,21.9682,356.6333,0.8742
398.9197,0.0183,1.6869,0.1993,21.4748,356.2097,0.7363
398.9314,0.0189,1.6865,0.1994,21.2497,355.9433,0.6613
398.9418,0.0198,1.6857,0.1993,21.4436,355.7512,0.3819
398.9526,0.0204,1.6854,0.1994,21.8007,355.6367,0.0172
398.964,0.0208,1.686,0.1999,22.1056,355.5322,359.6751
398.9753,0.0209,1.687,0.2006,22.1523,355.3213,359.4785
398.9863,0.021,1.6887,0.2018,21.8409,355.0696,359.4127
398.9973,0.0214,1.69,0.2027,21.3027,354.7395,359.2851
399.0085,0.022,1.6913,0.2041,20.53,354.4712,359.1038
399.0195,0.0227,1.6921,0.2051,19.7475,354.3575,358.9796
399.0306,0.0229,1.6923,0.2058,19.1872,354.3284,358.882
399.0419,0.0228,1.6925,0.2066,18.6316,354.3572,358.8551
399.0528,0.0225,1.6924,0.2073,18.3297,354.3822,358.9338
399.064,0.0217,1.6923,0.2081,18.0459,354.3506,359.1061
