ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p22,1,1,1,1,40.49971,40.85691,Practice,FailTooEarly,,,,0,0,1.5,Infinity,0.8577,posture_decision_experiment/p22/S001/movement_head_T001.csv,posture_decision_experiment/p22/S001/movement_right_hand_T001.csv,posture_decision_experiment/p22/S001/movement_left_hand_T001.csv
p22,1,2,1,2,62.20393,67.49113,Practice,Hit,62.58134,64.34659,Centre,0,0,1.3,Infinity,0.9765,posture_decision_experiment/p22/S001/movement_head_T002.csv,posture_decision_experiment/p22/S001/movement_right_hand_T002.csv,posture_decision_experiment/p22/S001/movement_left_hand_T002.csv
p22,1,3,1,3,75.14807,76.41366,Practice,Hit,75.51476,75.94698,Centre,0,0,1,Infinity,1.4616,posture_decision_experiment/p22/S001/movement_head_T003.csv,posture_decision_experiment/p22/S001/movement_right_hand_T003.csv,posture_decision_experiment/p22/S001/movement_left_hand_T003.csv
p22,1,4,1,4,82.64799,83.84724,Practice,Hit,83.12525,83.23611,Centre,0,0,1,Infinity,1.1946,posture_decision_experiment/p22/S001/movement_head_T004.csv,posture_decision_experiment/p22/S001/movement_right_hand_T004.csv,posture_decision_experiment/p22/S001/movement_left_hand_T004.csv
p22,1,5,1,5,87.93652,89.63631,Practice,Hit,88.31457,88.52517,Centre,0,0,1.5,Infinity,1.2543,posture_decision_experiment/p22/S001/movement_head_T005.csv,posture_decision_experiment/p22/S001/movement_right_hand_T005.csv,posture_decision_experiment/p22/S001/movement_left_hand_T005.csv
p22,1,6,1,6,93.14819,94.60315,Practice,Hit,93.62605,94.10313,Centre,0,0,1.3,Infinity,0.966,posture_decision_experiment/p22/S001/movement_head_T006.csv,posture_decision_experiment/p22/S001/movement_right_hand_T006.csv,posture_decision_experiment/p22/S001/movement_left_hand_T006.csv
p22,1,7,2,1,104.0264,104.3924,Baseline,FailTooEarly,,,,0,0,1.5,Infinity,0.7979,posture_decision_experiment/p22/S001/movement_head_T007.csv,posture_decision_experiment/p22/S001/movement_right_hand_T007.csv,posture_decision_experiment/p22/S001/movement_left_hand_T007.csv
p22,1,8,2,2,108.1043,108.5925,Baseline,FailTooEarly,,,,0,0,1,Infinity,1.0415,posture_decision_experiment/p22/S001/movement_head_T008.csv,posture_decision_experiment/p22/S001/movement_right_hand_T008.csv,posture_decision_experiment/p22/S001/movement_left_hand_T008.csv
p22,1,9,2,3,117.5489,118.7151,Baseline,Hit,117.8714,118.3706,Centre,0,0,1.3,Infinity,1.0222,posture_decision_experiment/p22/S001/movement_head_T009.csv,posture_decision_experiment/p22/S001/movement_right_hand_T009.csv,posture_decision_experiment/p22/S001/movement_left_hand_T009.csv
p22,1,10,2,4,123.5939,124.6708,Baseline,Hit,124.0606,124.4264,Centre,0,0,1,Infinity,0.9997,posture_decision_experiment/p22/S001/movement_head_T010.csv,posture_decision_experiment/p22/S001/movement_right_hand_T010.csv,posture_decision_experiment/p22/S001/movement_left_hand_T010.csv
